Text,Timestamp,ID,Retweets,Likes
"""I rarely snack, but if I do, it’s usually trail mix, occasionally some chocolate covered almonds or some fruit and yoghurt"" Aussie athlete @elliesalthouse spoke to us about her diet http://ow.ly/WSaI30js4A7   #fitness #food #nutritionpic.twitter.com/RaSRTNmzql",3:30 PM - 12 Apr 2018,984559333982826496,1,9
help they've given us dark chocolate covered almonds in the media room and i'm going to eat way too many,3:20 PM - 12 Apr 2018,984556916335575040,0,7
I wish I had chocolate-covered almonds right now.,11:21 AM - 12 Apr 2018,984496662490918912,0,1
"Chocolate covered strawberry  banana, mango, strawberries, oats, spinach, chia seeds, cocoa powder, and almond milk  pic.twitter.com/wN2oIDjYpM",10:03 AM - 12 Apr 2018,984477092934049792,4,82
I’m sorry but as an adult I am thoroughly bothered at the cost of almonds... you’re a nut and you’re not even covered in chocolate,9:56 AM - 12 Apr 2018,984475337877786626,0,8
When my doctor comes around asking what the hell I did to myself just show her this picture of dark chocolate almond milk angel food cake French toast covered in peanut butter. pic.twitter.com/7y3hfzcAJf,8:37 AM - 12 Apr 2018,984455460857229313,1,10
Chocolate covered almonds,6:14 AM - 12 Apr 2018,984419524136009728,0,1
Story of my life. We have an unlimited supply of chocolate covered almonds at my office. They are my lunch 2-4 times a week ,5:15 AM - 12 Apr 2018,984404563993288704,0,1
"Almond Stuffed Chocolate Covered Dates. Sticky #dates stuffed with #cinnamon roasted #almonds, covered in #chocolate http://ow.ly/JQ4B30eTAaj pic.twitter.com/RmGImXhlQ9",4:10 AM - 12 Apr 2018,984388190269247488,0,0
"When you can't sleep, because you're afraid you're gonna miss the Today Show, with The Sandlot boys interviews, so at 1 a.m. you're eating a banana and dark chocolate covered almonds.    #TodayShow #TheSandlot #25thAnniversarypic.twitter.com/gF5n7tCI2U",3:53 AM - 12 Apr 2018,984384043167993859,0,0
Damn I really want one of those chocolate covered ice creams bars they had at Costco with almonds on the sides yummm,10:28 PM - 11 Apr 2018,984302333017255936,0,7
chocolate covered almond 22,10:27 PM - 11 Apr 2018,984301955169173505,0,3
